n_explored,partial,trajectory,1,2,3,4
1,False,"(1,)",0.19613590974962108,0.26795469675012634,0.26795469675012634,0.26795469675012634
1,False,"(1, 1)",0.34784416053378514,0.2173852798220716,0.2173852798220716,0.2173852798220716
1,False,"(1, 1, 1)",0.7335103581658928,0.08882988061136908,0.08882988061136908,0.08882988061136908
1,False,"(1, 1, 1, 1)",0.6770943497327755,0.10763521675574149,0.10763521675574149,0.10763521675574149
1,False,"(1, 1, 1, 1, 1)",0.3887190922494231,0.20376030258352565,0.20376030258352565,0.20376030258352565
2,False,"(1, 2)",0.2147621931304854,0.3833193075933059,0.2009592496381044,0.2009592496381044
2,False,"(1, 1, 2)",0.6190983554657933,0.20247353000383608,0.08921405726518526,0.08921405726518526
2,False,"(1, 2, 1)",0.1536158564691759,0.5978718750265224,0.12425613425215086,0.12425613425215086
2,False,"(1, 2, 2)",0.1964431175836988,0.16134283503657776,0.3211070236898617,0.3211070236898617
2,False,"(1, 1, 1, 2)",0.4016757002489394,0.33053652074813133,0.13389388950146466,0.13389388950146466
2,False,"(1, 1, 2, 1)",0.359642047339303,0.47576145149153337,0.08229825058458178,0.08229825058458178
2,False,"(1, 1, 2, 2)",0.3279984722671461,0.3082191278752835,0.18189119992878522,0.18189119992878522
2,False,"(1, 2, 1, 1)",0.4579134431072555,0.40858156176581795,0.0667524975634633,0.0667524975634633
2,False,"(1, 2, 1, 2)",0.1526186955748625,0.19431886642216453,0.3265312190014865,0.3265312190014865
2,False,"(1, 2, 2, 1)",0.5606527967739465,0.2564244655347621,0.0914613688456456,0.0914613688456456
2,False,"(1, 2, 2, 2)",0.503745991764976,0.2836281907163156,0.10631290875935413,0.10631290875935413
2,False,"(1, 1, 1, 1, 2)",0.577464954101501,0.2120225147065631,0.10525626559596794,0.10525626559596794
2,False,"(1, 1, 1, 2, 1)",0.17605915250287682,0.2569160888280157,0.2835123793345537,0.2835123793345537
2,False,"(1, 1, 1, 2, 2)",0.24907162807970828,0.2084871651320893,0.2712206033941012,0.2712206033941012
2,False,"(1, 1, 2, 1, 1)",0.2059006989384564,0.3955704631067364,0.19926441897740366,0.19926441897740366
2,False,"(1, 1, 2, 1, 2)",0.159948787637147,0.4333722397431399,0.2033394863098565,0.2033394863098565
2,False,"(1, 1, 2, 2, 1)",0.1609900915781532,0.366877864258227,0.2360660220818099,0.2360660220818099
2,False,"(1, 1, 2, 2, 2)",0.46161015492427937,0.22943851568386234,0.15447566469592913,0.15447566469592913
2,False,"(1, 2, 1, 1, 1)",0.326860184878492,0.14585877408080503,0.26364052052035153,0.26364052052035153
2,False,"(1, 2, 1, 1, 2)",0.3857625854107681,0.3662281145175086,0.12400465003586164,0.12400465003586164
2,False,"(1, 2, 1, 2, 1)",0.2364463262014147,0.3977722198336711,0.1828907269824571,0.1828907269824571
2,False,"(1, 2, 1, 2, 2)",0.19830362123306847,0.4570520645223983,0.1723221571222666,0.1723221571222666
2,False,"(1, 2, 2, 1, 1)",0.17771804632237947,0.17361016971915885,0.32433589197923085,0.32433589197923085
2,False,"(1, 2, 2, 1, 2)",0.2290902066721363,0.4114743605910798,0.17971771636839193,0.17971771636839193
2,False,"(1, 2, 2, 2, 1)",0.382160182085421,0.12310084125432573,0.2473694883301266,0.2473694883301266
2,False,"(1, 2, 2, 2, 2)",0.23186093624269485,0.5773427445101253,0.0953981596235899,0.0953981596235899
3,False,"(1, 2, 3)",0.40729347286382556,0.17866244794680336,0.2568746468877033,0.15716943230166783
3,False,"(1, 1, 2, 3)",0.22360778375756885,0.2413242074313378,0.27276102923259044,0.26230697957850285
3,False,"(1, 2, 1, 3)",0.3257615456728419,0.1475925339322742,0.1680586955557601,0.3585872248391238
3,False,"(1, 2, 2, 3)",0.4289728380121089,0.2862349242453428,0.15493733355145187,0.12985490419109644
3,False,"(1, 2, 3, 1)",0.15759864763734105,0.27560442133981844,0.2373104130574795,0.32948651796536094
3,False,"(1, 2, 3, 2)",0.2344633083410344,0.28085110197711827,0.20926288056974537,0.275422709112102
3,False,"(1, 2, 3, 3)",0.14804663360255305,0.1633884425930211,0.1501827081330012,0.5383822156714246
3,False,"(1, 1, 1, 2, 3)",0.29202510249178876,0.3290757615985114,0.13456884524269333,0.2443302906670066
3,False,"(1, 1, 2, 1, 3)",0.32266229563359483,0.08862343245062264,0.33161250197424147,0.25710176994154105
3,False,"(1, 1, 2, 2, 3)",0.23599943521202169,0.18734153516244906,0.20516291986074134,0.37149610976478786
3,False,"(1, 1, 2, 3, 1)",0.09201016063028265,0.0995109905954988,0.3885160735286572,0.4199627752455614
3,False,"(1, 1, 2, 3, 2)",0.2734165414269824,0.19384546147341997,0.10873109302105285,0.4240069040785447
3,False,"(1, 1, 2, 3, 3)",0.4961347825987318,0.14018273754415514,0.19100943990857702,0.1726730399485361
3,False,"(1, 2, 1, 1, 3)",0.25390255172415077,0.24696278730428606,0.24658010883427214,0.252554552137291
3,False,"(1, 2, 1, 2, 3)",0.22499257861976404,0.14736127657711062,0.30760152128975204,0.3200446235133733
3,False,"(1, 2, 1, 3, 1)",0.2903532609312372,0.23007800940562975,0.2881796282324561,0.19138910143067692
3,False,"(1, 2, 1, 3, 2)",0.13924774089812322,0.4191654533038496,0.11862724572147092,0.32295956007655624
3,False,"(1, 2, 1, 3, 3)",0.5340006999199507,0.12812809045537574,0.20957056998727908,0.1283006396373946
3,False,"(1, 2, 2, 1, 3)",0.3623239141793158,0.0872594987185652,0.22532060427371906,0.32509598282839997
3,False,"(1, 2, 2, 2, 3)",0.5676578585622776,0.13956940501499035,0.1584940184094014,0.13427871801333074
